#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:MSA_cytB" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:MSA_cytB" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:MSA_cytB" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.MSA_cytB" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:MSA_cytB" name="distribution" x="@birthRate.t:MSA_cytB">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="alpha" spec="beast.core.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="parameter.hyperGamma-beta-YuleBirthRatePrior.t:MSA_cytB" name="beta" spec="beast.core.parameter.RealParameter">1000.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="GammaShapePrior.s:MSA_cytB" name="distribution">
#            <parameter id="gammaShape.s:MSA_cytB" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@MSA_cytB" id="treeLikelihood.MSA_cytB" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:MSA_cytB">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:MSA_cytB" shape="@gammaShape.s:MSA_cytB" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:MSA_cytB" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:MSA_cytB" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="Standard_TIM2uf.s:MSA_cytB" spec="substmodels.nucleotide.TIM2uf">
#                    <parameter dimension="4" id="TIM2ufrates.s:MSA_cytB" lower="0.0" name="rates" spec="beast.core.parameter.RealParameter">1.0 1.0 1.0 1.0</parameter>
#                    <frequencies id="TIM2ufFreqs.s:MSA_cytB" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="TIM2uffreqParameter.s:MSA_cytB" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:MSA_cytB" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:MSA_cytB" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	gammaShape	TIM2uffreqParameter.1	TIM2uffreqParameter.2	TIM2uffreqParameter.3	TIM2uffreqParameter.4	RateAC-Standard_TIM2uf	RateAG-Standard_TIM2uf	RateAT-Standard_TIM2uf	RateCG-Standard_TIM2uf	RateCT-Standard_TIM2uf	RateGT-Standard_TIM2uf
22000	-8743.98745130638	-8737.899610060316	-6.087841246063941	-8737.899610060316	0.31759697763121175	2.904416576423856	5.351323233547536	0.3971533387556835	0.2404158074227289	0.2586574771973018	0.2211887319490209	0.2797379834309484	1.053121976020877	0.7799666103046101	1.053121976020877	0.9250561689563016	1.263677099741033	0.9250561689563016
23000	-8734.052601865034	-8727.723093321849	-6.329508543185022	-8727.723093321849	0.3148759225757565	1.711795391635405	2.072426719569026	0.3971533387556835	0.2404158074227289	0.26100788673839526	0.21883832240792744	0.2797379834309484	1.053121976020877	0.7799666103046101	1.053121976020877	0.9250561689563016	1.263677099741033	0.9250561689563016
24000	-8733.559001112782	-8727.285408121825	-6.273592990956843	-8727.285408121825	0.34804753600963173	2.088315356470787	2.854403322838184	0.3971533387556835	0.23556707624218473	0.26100788673839526	0.21883832240792744	0.2845867146114926	1.053121976020877	0.7799666103046101	1.053121976020877	0.9250561689563016	1.263677099741033	0.9250561689563016
25000	-8736.785496985696	-8730.678963825174	-6.106533160522957	-8730.678963825174	0.280262884824656	1.8843133421786522	1.9705531387483	0.3971533387556835	0.23186242874639257	0.26100788673839526	0.21883832240792744	0.2882913621072848	1.053121976020877	0.7799666103046101	1.053121976020877	0.9250561689563016	1.263677099741033	0.9250561689563016
26000	-8733.312760727113	-8726.954243883614	-6.358516843498566	-8726.954243883614	0.3351476567751794	1.702063096248941	2.1127178890113956	0.3971533387556835	0.23186242874639257	0.26100788673839526	0.21883832240792744	0.2882913621072848	1.053121976020877	0.7799666103046101	1.053121976020877	0.9250561689563016	1.263677099741033	0.9250561689563016
27000	-8733.802480047902	-8727.953336474946	-5.849143572954785	-8727.953336474946	0.302529512211017	2.3180633268240665	2.350131443924144	0.3971533387556835	0.22204111069008547	0.27082920479470235	0.21883832240792744	0.2882913621072848	1.053121976020877	0.7799666103046101	1.053121976020877	0.9250561689563016	1.263677099741033	0.9250561689563016
28000	-8732.633565462591	-8726.5495466612	-6.084018801391114	-8726.5495466612	0.3224117493287454	2.134263080337492	2.473104569240923	0.3971533387556835	0.22204111069008547	0.27082920479470235	0.21883832240792744	0.2882913621072848	1.0202209634355925	0.8457686354751789	1.0202209634355925	0.9250561689563016	1.263677099741033	0.9250561689563016
29000	-8735.387373890595	-8729.07100568931	-6.316368201285948	-8729.07100568931	0.34435407163192316	2.1874427491305823	3.2886357333808585	0.3971533387556835	0.22204111069008547	0.27082920479470235	0.21883832240792744	0.2882913621072848	1.0202209634355925	0.8457686354751789	1.0202209634355925	0.9250561689563016	1.263677099741033	0.9250561689563016
30000	-8727.425551814453	-8719.477122776563	-7.94842903788976	-8719.477122776563	0.322736958145817	-0.29036361776714337	1.413060808818017	0.3971533387556835	0.22535756540143262	0.27082920479470235	0.2155218676965803	0.2882913621072848	1.0202209634355925	0.8457686354751789	1.0202209634355925	0.9250561689563016	1.263677099741033	0.9250561689563016
31000	-8716.647137566499	-8711.157197125154	-5.489940441344918	-8711.157197125154	0.2885404606645228	3.430771980289961	4.983314455581387	0.3971533387556835	0.22535756540143262	0.26779274179061413	0.2155218676965803	0.291327825111373	1.0202209634355925	0.7663781816101126	1.0202209634355925	0.9250561689563016	1.3430675536060992	0.9250561689563016
